timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673431529971,6291,HTTP Request,200,OK,AchomkaOffer 1-112,text,true,,2786,114,287,287,https://carnesia.com/,6291,0,5998
1673431530211,6051,HTTP Request,200,OK,AchomkaOffer 1-422,text,true,,2782,114,287,287,https://carnesia.com/,6051,0,5767
1673431529975,6287,HTTP Request,200,OK,AchomkaOffer 1-108,text,true,,2788,114,287,287,https://carnesia.com/,6287,0,5974
1673431529934,6328,HTTP Request,200,OK,AchomkaOffer 1-287,text,true,,2784,114,287,287,https://carnesia.com/,6328,0,6015
1673431530489,5774,HTTP Request,200,OK,AchomkaOffer 1-722,text,true,,2789,114,287,287,https://carnesia.com/,5773,0,5480
1673431530238,6025,HTTP Request,200,OK,AchomkaOffer 1-471,text,true,,2780,114,284,284,https://carnesia.com/,6025,0,5744
1673431530334,5932,HTTP Request,200,OK,AchomkaOffer 1-750,text,true,,2784,114,279,279,https://carnesia.com/,5931,0,5629
1673431530223,6046,HTTP Request,200,OK,AchomkaOffer 1-446,text,true,,2784,114,278,278,https://carnesia.com/,6036,0,5762
1673431529973,6297,HTTP Request,200,OK,AchomkaOffer 1-154,text,true,,2782,114,278,278,https://carnesia.com/,6296,0,6019
1673431530409,5861,HTTP Request,200,OK,AchomkaOffer 1-602,text,true,,2786,114,278,278,https://carnesia.com/,5860,0,5587
1673431529974,6296,HTTP Request,200,OK,AchomkaOffer 1-22,text,true,,2790,114,276,276,https://carnesia.com/,6296,0,6015
1673431530486,5785,HTTP Request,200,OK,AchomkaOffer 1-729,text,true,,2792,114,274,274,https://carnesia.com/,5785,0,5501
1673431530253,6018,HTTP Request,200,OK,AchomkaOffer 1-502,text,true,,2784,114,274,274,https://carnesia.com/,6018,0,5734
1673431530634,5637,HTTP Request,200,OK,AchomkaOffer 1-931,text,true,,2782,114,274,274,https://carnesia.com/,5637,0,5361
1673431530704,5568,HTTP Request,200,OK,AchomkaOffer 1-946,text,true,,2780,114,273,273,https://carnesia.com/,5567,0,5299
1673431529975,6297,HTTP Request,200,OK,AchomkaOffer 1-303,text,true,,2782,114,272,272,https://carnesia.com/,6297,0,6028
1673431530155,6117,HTTP Request,200,OK,AchomkaOffer 1-574,text,true,,2782,114,272,272,https://carnesia.com/,6117,0,5833
1673431530081,6192,HTTP Request,200,OK,AchomkaOffer 1-24,text,true,,2784,114,272,272,https://carnesia.com/,6191,0,5931
1673431529940,6333,HTTP Request,200,OK,AchomkaOffer 1-294,text,true,,2784,114,270,270,https://carnesia.com/,6333,0,6068
1673431530611,5663,HTTP Request,200,OK,AchomkaOffer 1-891,text,true,,2784,114,269,269,https://carnesia.com/,5662,0,5403
1673431530722,5552,HTTP Request,200,OK,AchomkaOffer 1-970,text,true,,2787,114,269,269,https://carnesia.com/,5551,0,5294
1673431530113,6161,HTTP Request,200,OK,AchomkaOffer 1-370,text,true,,2788,114,269,269,https://carnesia.com/,6160,0,5896
1673431530560,5714,HTTP Request,200,OK,AchomkaOffer 1-794,text,true,,2788,114,269,269,https://carnesia.com/,5713,0,5444
